Question,Answer1,Answer2,Answer3,Answer4,Correct Answer
「證券交易法施行細則」係由下列何機關所訂定？,財政部,行政院,金融監督管理委員會,經濟部,3
「證券商營業處所買賣有價證券管理辦法」第2條對櫃檯買賣的定義是：,在臺灣證券交易所以外場所之買賣,在櫃檯買賣中心買賣,在券商公會之櫃檯買賣,不在集中交易市場以競價買賣，而在證券商專設櫃檯交易,4
「證券商營業處所買賣有價證券管理辦法」第二條對櫃檯買賣的定義是：,在臺灣證券交易所以外場所之買賣,在櫃檯買賣中心買賣,在券商公會之櫃檯買賣,不在集中交易市場以競價買賣，而在證券商專設櫃檯交易,4
105年至107年證券市場個股投資報酬率(ROI)，哪一年最高？(提示：可利用證交所網頁查詢),105年,106年,107年,一樣高,2
107年10月1日有幾檔股票終止上市？(提示：可利用證交所網頁查詢),1,2,3,4,4
108年1月份「當日沖銷交易總成交股數占市場比重%」，哪一天最高？(提示：可利用證交所網頁查詢),1月3日,1月10日,1月17日,1月24日,4
108年3月份全體證券商成交金額依地區統計，以台北市為最高，所占比率為(至小數點下2位，四捨五入)？(提示：可利用證交所網頁查詢),0.7553,0.61188,0.5864,0.3349,2
108年4月1日食品類指數漲跌為何?(提示：可利用證交所網頁查詢),漲23.41,跌2.37,漲2.25,跌1.03,3
108年5月14日當日沖銷交易總成交股數？(提示：可利用證交所網頁查詢),"604,429,000股","412,877,000股","449,244,000股","710,461,000股",4
108年7月18日成交量最大者為下列哪一檔股票？(提示：可利用證交所網頁查詢),欣興,旺宏,友達,群創,4
108年7月19日發行量加權股價指數漲跌為(提示：可利用證交所網頁查詢),漲73.91,漲60.03,跌60.30,跌73.91,1
108年7月22日鉅額交易別，何者正確(提示：可利用證交所網頁查詢),統一為鉅額逐筆交易,鴻海為鉅額逐筆交易,永光為鉅額逐筆交易,巨大為鉅額逐筆交易,3
108年7月23日9911櫻花零股交易共成交幾股(提示：可利用證交所網頁查詢),"2,147股",23股,463股,126股,1
108年底上市公司總家數為？(提示：可利用證交所網頁查詢),907家,919家,928家,942家,4
109年有價證券集中交易市場開（休）市日期表，國曆新年開始交易日為1月2日，請問農曆新年開始交易日為何？(提示：可利用證交所網頁查詢),1月30日,2月4日,2月11日,2月28日,1
1101台泥108年1月份之日收盤價最高日期為？(提示：可利用證交所網頁查詢),1月30日,1月23日,1月16日,1月9日,1
1101台泥於108年5月20日之個股日本益比為？(提示：可利用證交所網頁查詢),10.13,13.57,58.41,116.58,1
1103嘉泥108年3月27日董事會通過董監酬勞為？(提示：可利用證交所公開資訊觀測站網頁查詢),"23,890,000元","9,750,000元","17,580,000元",0元,2
1104環泥108年召開股東會日期為？(提示：可利用證交所公開資訊觀測站網頁查詢),6月24日,6月21日,6月12日,6月18日,4
111年有價證券集中交易市場開（休）市日期表，國曆新年開始交易日為1月3日，請問農曆新年開始交易日為何？(提示：可利用證交所網頁查詢),2月4日,2月7日,2月11日,2月28日,2
112年8月10日市場違約買進賣出合計金額多少?(提示:證交所官網-市場公告-違約公告專區),查無資料,3289511,121831,16551,2
112年8月16日公開申購抽籤之宏碩系統(6896)開始申購日是那一天?(提示:證交所官網-市場公告-公開申購公告),112年8月16日,112年8月10日,112年8月8日,112年8月14日,2
1201味全於108年6月11日之股價淨值比為？(提示：可利用證交所網頁查詢),0.86,3.87,2.09,12.01,3
1216統一105年收盤平均價為？(提示：可利用證交所網頁查詢),67.40元,58.78元,50.30元,59.83元,2
1234黑松於88年至107年間，最高價與最低價差為？(提示：可利用證交所網頁查詢),42.9元,51元,36.8元,27.5元,1
1303南亞107年度財務報告書簽證會計師事務所為？(提示：可利用證交所公開資訊觀測站網頁查詢),安永聯合會計師事務所,勤業眾信聯合會計師事務所,安侯建業聯合會計師事務所,揚智聯合會計師事務所,3
13163上曜三轉(交)換公司債107年11月7日發行總額為？(提示：可利用證交所公開資訊觀測站網頁查詢),"500,000,000元","300,000,000元","100,000,000元","800,000,000元",1
1590亞德客-KY為第一上市外國股票，108年4月19日收盤價為？(提示：可利用證交所網頁查詢),429元,406元,36元,275元,2
1613台一終止上市日期為(提示：可利用證交所網頁查詢),106.11.21,105.10.13,106.12.23,105.7.6,1
1730花仙子107年月週轉率最高月份為？(提示：可利用證交所網頁查詢),3月,6月,9月,12月,4
2017年起臺灣證券交易所開放投資人可洽證券商辦理股票、ETF定期定額業務，目前開放的定期定額標的，何者為非？,原型ETF,反向型ETF,上市股票,上櫃股票,2
2017年起臺灣證券交易所開放投資人可洽證券商辦理股票、ETF定期定額業務，目前開放的定期定額標的，何者為非?,原型ETF,反向型ETF,上市股票,上櫃股票,2
2017年起臺灣證券交易所開放投資人可洽證券商辦理股票、ETF定期定額業務，目前開放的定期定額標的，何者為非？,原型ETF,反向型ETF,上市股票,上櫃股票,2
2017年起臺灣證券交易所開放投資人可洽證券商辦理股票、ETF定期定額業務，目前開放的定期定額標的，何者為非?,原型ETF,反向型ETF,上市股票,上櫃股票,2
2020年3月23日正式實施的逐筆交易制度，下列描述何者有誤？,委託單隨到隨撮合,撮合順序以下單時間優先為主,以滿足最大成交量來決定單一價格,可以採取市價委託單,3
2317鴻海107年10月26日減資後之「開盤競價基準」為？(提示：可利用證交所網頁查詢),68.1元,74.4元,82.6元,90.8元,3
2330台積電107年平均價為(提示：可利用證交所網頁查詢),213.67元,212.03元,237.45元,243.44元,3
2330台積電108年3月週轉率為(提示：可利用證交所網頁查詢),0.0199,0.0246,0.021,0.0187,4
2383台光電子107年度毛利率為？(提示：可利用證交所公開資訊觀測站網頁查詢),0.0374,0.2468,0.199,0.0698,3
2885元大金控107年4月25日董事會決議預定買回之庫藏股股數為？(提示：可利用證交所公開資訊觀測站網頁查詢),"23,400,000股","134,000,000股","73,400,000股","93,400,000股",2
2倍槓桿型台股ETF之漲跌幅度限制為何?,0.1,0.14,0.2,無漲跌幅度限制,3
3008大立光107年度第三季稅後純益率為？(提示：可利用證交所公開資訊觀測站網頁查詢),0.4879,0.4527,0.477,0.4496,3
3008大立光歷史最高價為？(提示：可利用證交所網頁查詢),"9,030元","4,485元","6,075元","5,780元",3
3530晶相光上市日期為(提示：可利用證交所網頁查詢),107.7.2,107.7.16,107.7.26,107.7.23,2
6月8日投資人甲信用帳上有融資A、B、C股票，個筆擔保維持率分別為125%、128%、132%，整戶擔保維持率為128%，當日證券商郵寄發出A及B之追繳通知，假設次日送達，每日皆是營業日，6月10日期限到時，客戶未補繳，但是整戶擔保維持率提升至132%，請問6月11日早上應處分之股票？,A、B、C,不應處分,A、B,其他3個選項皆非,2
94年最低價買了一千股大立光股票，106年最高價賣出該股票，若不計每年配股及配息部分，獲利約為(提示：可利用證交所網頁查詢),60.79萬元,594.7萬元,800.2萬元,6.3萬元,2
A.出售長期投資收入；B.薪資費用；C.停業單位損益。若按其可預測性由高到低排列，其順序為：,A、B、C,B、A、C,C、B、A,A、C、B,2
A上市公司(下稱A公司)董事甲得知該公司即將獲得國際大廠的重大訂單，在該消息明確後，未公開前，於市場上進行交易。下列何者不會構成內線交易之違反？,賣出A公司普通股,買進A公司普通公司債,買進A公司可轉換公司債,賣出A公司特別股,2
A小姐接獲投資公司電話，表示已抽中新上市股票20張，如未即時付款即喪失權利，請問參與股票公開申購抽籤之投標管道為何?,投資公司,LINE群組,證金公司,證券商,4
A公司內部人如知悉A上市公司明天將發布重大利多消息，下列何者為非?,消息公開前不能買進A公司股票,消息公開前不能賣出A公司股票,消息公開前不能買進可轉換公司債,明天消息在公開資訊觀測站公布後就可以買進A公司股票,4
A公司將舉行股東會，某甲已採電子方式行使表決權，但重新思考後已改變對其中一項議案的看法，某甲應如何變更其意思表示?,股東會開會2日前以原行使方式撤銷先前意思表示,登報示眾,於股東會現場直接表達對該議案之新看法,其他3個選項皆可,1
A公司董事長甲知悉B公司即將公開收購A公司股份，惟在公開收購前因身體因素請辭董事長，並於請辭後取消原定賣出A公司股票之計畫，轉而買進A公司股票，下列敘述何者為非?,甲構成內線交易罪，因其辭去職務未滿六個月,甲取消股票之賣出計畫已觸犯內線交易罪,甲買進股票之行為已觸犯內線交易罪,甲構成內線交易罪，因本件公開收購事件屬於重大影響股價之消息,2
A股票自2015年到2018年的股票報酬率分別為12%、-10%、-2%、18%，請問A股票這四年的算術平均年報酬率為何？,0.045,0.05,0.06,0.065,1
A資產組合和市場投資組合報酬率呈現負相關，則均衡時A資產組合的期望報酬率應該,小於無風險利率,大於無風險利率,提供相同之風險及報酬,位於證券市場線（SecurityMarketLine）上,1
A資產組合和市場投資組合報酬率呈現負相關，則均衡時A資產組合的期望報酬率應該：,小於無風險利率,大於無風險利率,大於市場組合報酬率,其他3個選項皆可能,1
A銀行為一家上市公司，甲、乙、丙3人因金融專業能力卓越在業界頗有聲譽而獲邀被選任為A銀行的獨立董事，並由其3人組成審計委員會。下列敘述何者正確？,A銀行獨立董事人數不得少於2人，且不得少於董事席次三分之一,為落實A銀行之公司治理，應得於審計委員會外另設置監察人加強監督,若甲於任期中轉讓超過選任當時所持有之A銀行股份數額二分之一時，其獨立董事當然解任,若審計委員會就內部控制制度有效性之考核事項為決議時，應有審計委員會全體成員二分之一以上之同意，始為有效之決議,4
ESGInfoHub的哪個部分提供臺灣資本市場近期ESG發展亮點？,相關法規,ESG商品,MarketHighlights,友善連結,3
ESGInfoHub為協助上市公司進行碳盤查，提供哪些資源連結?,規範及指引,宣導影片,盤查工具與資料庫資源,其他3個選項皆是,4
ESG中G的範圍包括以下何者？,尋求政府介入,政府立法,供應鏈管理,不當競爭行為,3
ESG中的S不包含以下何者？,商業模式,人權,員工福利,勞工關係,1
ESG涵蓋內容不包含以下何者？,社會責任,環境保護,公司治理,政府保護,4
ETF及ETN主要的投資目標為何？,追踪特定指數表現,打敗大盤,獲取較市場高之超額利潤,降低市場風險,1
ETF及ETN主要的投資目標為何？,追蹤特定指數表現,打敗大盤,獲取較市場高之超額利潤,降低市場風險,1
ETF可否進行零股交易？,可以,不可以,僅國內成分證券指數股票型基金可以,僅加掛外幣之ETF可以,1
ETF何時會配息？,不會配息,基金累計報酬率達一定比率時，惟並非每檔ETF皆會配息,與股票相同，通常於7-9月配息,每年年底固定配息,2
ETF是否可以配息？,僅分配現金股利,可分配現金股利及股票股利,僅分配股票股利,不可參與配息,1
ETF架構為開放型基金，是否會跟一般基金一樣，調整投資組合內容？,會，隨著其標的指數成分股的調整而調整,不會，成分股選定後即不再調整,會，依據基金經理人的研究判斷而調整,會，ETF投資組合會定期依據成分股成交狀況而調整,1
ETF富邦摩台(0057)追蹤標的指數為何？(提示：可利用證交所網頁查詢),台灣發行量加權股價指數,MSCI台灣指數,FTSE台灣指數,MSCI新興市場指數,2
ETF實物申購/買回的基本單位為何？,"1,000受益權單位(1張)",依據ETF證券投資信託契約規定的實物申購/買回基數而定,"5,000受益權單位(5張)",10萬受益權單位(100張),2
ETN在交易時間於證券市場交易買賣乃依據下列何種價格？,市價,指標價值,盤中預估指標價值,淨資產價值,1
ETN在交易時間於證券市場交易買賣乃依據下列何種價格？,指標價值,盤中預估指標價值,市價,淨資產價值,3
ETN和ETF的比較，下列何者有誤？,兩者都追蹤標的指數為主,ETN理論上沒有追蹤誤差，而ETF會有追蹤誤差,ETN是由券商發行，ETF是由投信發行,ETN可以用實物或現金申購贖回，而ETF只能用現金申購贖回,4
ETN和股票之交易時間是否一致？,不一致,一致,無法比較,國內ETN交易時間與股票一致，國外ETN交易時間則與原上市地一致,2
ETN的發行人為何種機構？,綜合證券商,投信公司,期信公司,商業銀行,1
ETN的發行人為何種機構？,證券商,投信公司,期信公司,商業銀行,1
ETN與ETF有何不同之處？,證券交易稅率為千分之一,發行人,在證交所上市交易,有流動量提供者,2
ETN與ETF有何相同之處？,都持有標的指數成分資產,發行人資金運用透明公開,可實物及現金申贖,追蹤標的指數表現,4
K線的實體部分，代表：,最高價與最低價的變動範圍,開盤價與收盤價的變動範圍,最高價與收盤價的變動範圍,開盤價與最低價的變動範圍,2
K線描繪某一期間（如日、週、月等）內的何種股價？,僅收盤價和平均價,僅開盤價及收盤價,僅最高價、最低價及平均價,開盤價、收盤價、最高價、最低價,4
K線實體的上方帶有細線時，稱之為上影線（UpperShadow），上影線的上端，代表盤中的：,開盤價,收盤價,最高價,最低價,3
RSI指標之最小值應是：,0,-1,1,0.5,1
twCCCf是中華信評何種類型的評等等級之一？,長期債信評等等級,短期債信評等等級,債券型基金評等等級,特別股評等等級,3
T公司產品目前已廣為消費者所使用，同時也已逐漸標準化，且較少有創新時，則A公司應處於：,草創時期,擴張時期,成熟時期,穩定衰退時期,3
W公司目前股價是60元，已知該公司今年每股可賺3元，試求該公司目前本益比倍數是多少?,2,1/2,1/20,20,4
W公司股票要求報酬率為10%，股利成長率5%，今年發放每股4元的股利，該公司股利穩定成長，且未曾配發股票股利，求該股票市價為多少？,40元,84元,96元,126元,2
"X9年基隆綜合損益表列報之利息費用$40,000，所得稅費用$60,000，淨利$240,000；同年之資產負債表顯示總資產$2,400,000，流動負債$300,000，非流動負債為$900,000，則財務槓桿指數為何?",0.36,1.2,1.77,2.83,3
"X9年基隆綜合損益表列報之利息費用$40,000，所得稅費用$60,000淨利$240,000；同年之資產負債表顯示總資產$2,400,000，流動負債$300,000，非流動負債為$900,000，則財務槓桿比率為何?",0.5,1,1.5,2,4
"X9年基隆綜合損益表列報之利息費用$40,000，所得稅費用$60,000淨利$240,000；同年之資產負債表顯示總資產$2,400,000，流動負債$300,000，非流動負債為$900,000，則財務槓桿指數為何?",0.36,1.2,1.77,2.83,3
Z上市公司(下稱Z公司)董事甲得知該公司即將獲得國際大廠的重大訂單，在該消息明確後，未公開前，於市場上進行交易。下列何者不會構成內線交易之違反？,賣出Z公司普通股,買進Z公司普通公司債,買進Z公司可轉換公司債,賣出Z公司特別股,2
Z公司為公開發行公司，設有董事9席，公司為精簡人事，並達到議事效率之目的，變更章程將公司董事席次減為3席。同時，Z公司的大股東X股份有限公司於董事選舉議案中，推派其代表人甲當選為董事；又於監察人之選舉議案中，推派其代表人乙當選為監察人。則Z公司變更章程是否有效？又甲、乙分別當選為董事與監察人是否合法？,變更章程有效，甲、乙當選合法,變更章程有效，甲、乙當選違法,變更章程無效，甲、乙當選合法,變更章程無效，甲、乙當選違法,4
Z銀行為一家上市公司，甲、乙、丙3人因金融專業能力卓越在業界頗有聲譽而獲邀被選任為Z銀行的獨立董事，並由其3人組成審計委員會。下列敘述何者正確？,Z銀行獨立董事人數不得少於2人，且不得少於董事席次三分之一,為落實Z銀行之公司治理，應得於審計委員會外另設置監察人加強監督,若甲於任期中轉讓超過選任當時所持有之Z銀行股份數額二分之一時，其獨立董事當然解任,若審計委員會就內部控制制度有效性之考核事項為決議時，應有審計委員會全體成員二分之一以上之同意，始為有效之決議,4
一公司在選擇會計方法時，會受到下列那些因素之影響？,公司的獎酬計畫,股票市場的反應,公司的債務契約,其他3個選項皆是,4
一比率欲於財務分析時發揮用途，則：,此比率必須大於2年,此比率必可與某些基年之比率比較,用以計算比率之二數額皆必須以金額表示,用以計算比率之二數額必須具備邏輯上之關係,4
一年內將到期並以償債基金償還之五年期公司債，在資產負債表上應列為：,流動負債,長期負債,償債基金之減項,資產總額之減項,1
一股票之實際報酬率為12%，而利用CAPM所計算出來的預期報酬率為10%，則表示：,該股票之價格被高估,該股票之價格被低估,應融券該股票,應立刻賣出該股票,2
一個正在成長中之企業，下列何項活動最可能產生負的現金流量？,營業活動,融資活動,投資活動,與顧客間之往來,3
一般公司經常性的法律顧問費用是：,銷售費用,管理費用,財務費用,營業外費用,2
一般企業申請股票在櫃檯買賣，公司內部人及該等內部人持股逾百分之五十之法人以外之記名股東人數不少於多少人？,二百人,三百人,五百人,七百人,2
一般企業申請股票在櫃檯買賣，其最低實收資本額為新臺幣：,五千萬元,一億元,二億元,五億元,1
一般企業申請股票在櫃檯買賣，其董事、監察人、大股東提交保管之股票，應交由下列何機構保管？,臺灣集中保管結算所,臺灣證券交易所（股）公司,財團法人中華民國證券櫃買中心,金管會證券期貨局,1
一般企業申請股票在櫃檯買賣，其董事、監察人、大股東提交保管之股票，應交由下列何機構保管？,臺灣集中保管結算所,臺灣證券交易所（股）公司,財團法人中華民國證券櫃檯買賣中心,金管會證券期貨局,1
一般而言，「股價淨值比」與「本益比」兩者呈：,正相關,負相關,零相關,不一定相關,1
一般而言，「股價淨值比」與「本益比」兩者關係呈：,正相關,負相關,零相關,不一定相關,1
一般而言，公債風險不包括下列何者？,違約風險,流動性風險,利率風險,通貨膨脹風險,1
一般而言，央行大幅壓低M1B（貨幣供給）成長率對股價的影響應為何？,上漲,下跌,不確定漲跌,無影響,2
一般而言，央行大幅壓低M1b（貨幣供給）成長率對股價的影響應為何?,上漲,下跌,不確定漲跌,無影響,2
一般而言，央行大幅壓低M1B（貨幣供給）成長率對股價的影響應為何？,上漲,下跌,不確定漲跌,無影響,2
一般而言，市場報酬率利用何者計算而得？,加權股價指數,各上市公司的報酬率,產業股價指數,其他3個選項皆非,1
一般而言，目前證券商最主要之營業收入項目為,經紀手續費收入,借券收入,承銷業務收入,利息收入,1
一般而言，目前證券商最主要之營業收入項目為？,經紀手續費收入,借券收入,承銷業務收入,利息收入,1
一般而言，企業的流動比率不小於2時，亦即企業的淨營運資金應不少於：,存貨的總額,長期負債,權益淨值,流動負債,4
一般而言，投資人在選擇投資計畫時：,應選擇風險最高的計畫,報酬率最高的計畫通常風險程度最低,報酬率最低的計畫通常風險程度最低,風險程度和報酬率之間並無關係,3
一般而言，投資下列金融工具的風險狀況依序為何？　A.短期公債；B.股票；C.認購權證；D.長期公債,B＞D＞A＞C,C＞A＞D＞B,A＞B＞C＞D,C＞B＞D＞A,4
一般而言，投資下列金融工具的風險狀況依序為何？甲.短期公債；乙.股票；丙.認購權證；丁.長期公債,乙＞丁＞甲＞丙,丙＞甲＞丁＞乙,甲＞乙＞丙＞丁,丙＞乙＞丁＞甲,4
一般而言，股價波動性對理性投資人的意涵在於：,可以增加扣除風險以後的投資報酬率,可使投資人的獲利趨近於無風險利率,可以賺取價差,可增加股價之可預測性,3
一般而言，若公司未來成長機會的價值已被反映到當期股價上，則購買何種股票的投資人將無法賺到超額報酬？　甲.負成長公司；乙.零成長公司；丙.正成長公司,僅甲,僅甲、乙,僅丙,甲、乙、丙,4
一般而言，若公司未來成長機會的價值已被反映到當期股價上，則購買何種股票的投資人將無法賺到超額報酬？甲.負成長公司；乙.零成長公司；丙.正成長公司,僅甲,僅甲、乙,僅丙,甲、乙、丙,4
一般而言，風險愛好者所投資之投資組合，其貝它（Beta）係數為：,0,小於1,小於0,大於1,4
一般而言，風險較大的公司，其投資人可接受的本益比：,較大,較小,不變,不一定較大或較小,2
一般而言，景氣由谷底復甦時，舉債程度較高的公司股票：,價格漲幅較小,價格波動性較小,價格漲幅較大,倒閉風險增加,3
一般而言，當RSI低於多少時為超賣訊號？,30,60,20,80,3
一般而言，當投資人預期新臺幣升值，則依賴進口原料的產業股價會：,上漲,下跌,不一定上漲或下跌,先跌後漲,2
一般而言，當投資人預期新臺幣升值，則依賴進口原料的產業股價會：,下跌,上漲,不一定上漲或下跌,先跌後漲,2
一般而言，當預期新臺幣對美元升值，投資人將預期按美元計價之出口企業股價：,下跌,上漲,不一定上漲或下跌,先跌後漲,1
一般自然人想要出借有價證券可透過何種方式出借?,於證券商營業處所以個人身分出借有價證券予證券商,以個人身分直接透過臺灣證券交易所出借,以個人身分直接透過證券櫃檯買賣中心出借,私下出借,1
一般投資人可於何處委託買賣於證交所掛牌之ETN？,證券商,投信公司,投顧公司,其他3個選項皆是,1
一般投資人向證券商申請借券，應提交之原始擔保比率為何?,1.4,1.2,1.1,1.05,1
一般來說，三角整理（Triangle）通常屬於：,頭部反轉型態,底部反轉型態,連續型態,間斷型態,3
一般所稱的債券殖利率是指下列何者？,當期收益率,贖回收益率,到期收益率,票面利率,3
一般散戶自然人若欲於次級市場買進寶島債券，可於下列哪個時點透過哪個管道為之？,10:00透過國際債券交易系統,12:00透過國際債券交易系統,14:00透過證券商營業處所議價,16:00透過證券商營業處所議價,3
一般散戶自然人若欲於次級市場買進寶島債券，可於下列哪個時點透過哪個管道為之？,早上十時透過國際債券交易系統,中午十二時透過國際債券交易系統,下午二時透過證券商營業處所議價,下午四時透過證券商營業處所議價,3
一般發行擔保公司債，擔保機構主要為：,銀行,承銷商,投資信託公司,票券公司,1
一般債券的基本特性包含：　甲.有到期期間；乙.投資風險較非固定收益證券小；丙.利息發放頻率固定,僅甲、乙,僅甲、丙,僅乙、丙,甲、乙、丙,4
一般債券的基本特性包含：　甲.有到期期間；乙.投資風險較非固定收益證券小；丙.利息發放頻率固定,僅甲、乙,僅甲、丙,僅乙、丙,甲、乙、丙皆是,4
一般債券的基本特性包含：甲.有到期期間；乙.投資風險較非固定收益證券小；丙.利息發放頻率固定,僅甲、乙,僅甲、丙,僅乙、丙,甲、乙、丙,4
一般債券會存在再投資風險，其原因為：,利率的變動,債券被發行公司提前贖回,債息之支付,其他3個選項皆是,4
一般說來，債券型基金之貝它（Beta）係數：,小於0,小於1,大於1,無法判斷,2
一張面額100萬的10年期債券，票面利率為6%，每半年付息一次，則該債券可分割成多少張零息債券？,10張,11張,21張,25張,3
一張面額100萬的10年期債券，票面利率為6%，每半年付息一次，則該債券可分割成多少張零息債券？,10張,11張,21張,25張,3
